date,beta_PR,se_PR
2018-01-31,0.10435008940468801,0.0787241814785913
2018-02-28,0.13566833714899645,0.07396679593878726
2018-03-31,0.14282477635728746,0.07369310235108223
2018-04-30,0.16315289899757807,0.07062807803296374
2018-05-31,0.18147772606495893,0.06698660284797098
2018-06-30,0.17480412556911218,0.06630081041594994
2018-07-31,0.18358721667568928,0.06861066776750903
2018-08-31,0.18277162186184454,0.06882629172785194
2018-09-30,0.22199447837355846,0.0719810699891051
2018-10-31,0.23201157255674382,0.07159793995562617
2018-11-30,0.24417373343390292,0.07261381582313108
2018-12-31,0.23453383839065378,0.07103678071573051
2019-01-31,0.21767905966845819,0.06954261441232723
2019-02-28,0.2011442994491993,0.07050686814797144
2019-03-31,0.19921297377543212,0.06778287304057759
2019-04-30,0.20562970711033884,0.07094173394662885
2019-05-31,0.20529478096004017,0.07114656286875616
2019-06-30,0.16845596569570698,0.06925965729766467
2019-07-31,0.1415878380959087,0.0666131547430875
2019-08-31,0.15213076810482223,0.06597371044523666
2019-09-30,0.14836846165879503,0.0650085725786276
2019-10-31,0.16073432801602705,0.0660374053496457
2019-11-30,0.18163152842343513,0.07059792285409326
2019-12-31,0.16043943241859193,0.070098661631196
2020-01-31,0.18924276793901162,0.0722694049810314
2020-02-29,0.2094950112985386,0.0722296785930645
2020-03-31,0.20632688172961647,0.07678310025942092
2020-04-30,0.20512986362233787,0.07659909254557438
2020-05-31,0.2514894831181526,0.07251310262259231
2020-06-30,0.24090962484695252,0.06980234284445223
2020-07-31,0.23309276888538877,0.0590387653601563
2020-08-31,0.2522536919329143,0.05530116543772913
2020-09-30,0.24592867501025978,0.05613904554879066
2020-10-31,0.24430913509028776,0.058930220982441585
2020-11-30,0.24403119823287056,0.061710763493173566
2020-12-31,0.2505624350257193,0.06112950591304946
2021-01-31,0.25086206398481825,0.061089247566982925
2021-02-28,0.25953139807282233,0.06407072035443276
2021-03-31,0.26948155886724245,0.06369450348370709
2021-04-30,0.2657706589356825,0.06448867714281509
2021-05-31,0.2744202254220308,0.06805986038974826
2021-06-30,0.2724748865298303,0.06849211426103259
2021-07-31,0.2567630878291936,0.0704271497384323
2021-08-31,0.23838008744823816,0.07274602498471164
2021-09-30,0.23489640335156914,0.07165648554196208
2021-10-31,0.2077688869832205,0.0727543888142471
2021-11-30,0.20306923083212125,0.07032656925318448
2021-12-31,0.17631978505878615,0.06604043441732915
2022-01-31,0.16825750913588233,0.06135344839551105
2022-02-28,0.163163311318802,0.0624241888976112
2022-03-31,0.16228886563081504,0.06064552137011862
2022-04-30,0.15318934697591696,0.05879217476149817
2022-05-31,0.14196727370479456,0.06287288269700013
2022-06-30,0.1290257824009091,0.0607519523167205
2022-07-31,0.1067968112506814,0.061022062665581515
2022-08-31,0.09913676847655754,0.06021753963301273
2022-09-30,0.09511255323259049,0.0628578901452567
2022-10-31,0.04312517674330697,0.06522171320185371
2022-11-30,0.02016037377510942,0.06230346881661224
2022-12-31,0.02094621315747951,0.06244977669019065
2023-01-31,0.017161743101537442,0.0611705987666679
2023-02-28,-4.648585033955807e-05,0.06280075666548358
2023-03-31,-0.0004231929820189863,0.06280188228527296
2023-04-30,-0.02297042451658307,0.062230769086631776
2023-05-31,-0.008740520447627576,0.06244927296982058
2023-06-30,-0.01110270110594793,0.0632445501248005
2023-07-31,-0.13286779933479886,0.08132780652203175
2023-08-31,-0.1435293972783107,0.08082209251325684
2023-09-30,-0.13253773143706132,0.0794664594296111
2023-10-31,-0.138747330114881,0.07851248976368606
2023-11-30,-0.1439156129667351,0.07880208313204118
2023-12-31,-0.15373355046775936,0.08529511828138356
2024-01-31,-0.13774410184386093,0.07815522783076384
2024-02-29,-0.02965435582750081,0.054673706506932214
2024-03-31,-0.03461412731965489,0.053724928729931024
2024-04-30,-0.031897378334496046,0.05354155157556614
2024-05-31,-0.028751479848045804,0.05383828303461316
2024-06-30,-0.022611797710863683,0.05194359886136323
2024-07-31,-0.02864753161470864,0.051459895486745386
2024-08-31,-0.02293424294298162,0.05105175214714558
2024-09-30,-0.023020024278854752,0.05189275431238133
2024-10-31,-0.017395141302896603,0.051427299773802296
2024-11-30,-0.03768549470112126,0.05123327433540457
2024-12-31,-0.029199667863859732,0.0512097536247002
