date,strategy_return
2015-02-28,-0.019254218664542515
2015-03-31,0.007959629218785935
2015-04-30,-0.001341603647295641
2015-05-31,0.06648330998733773
2015-06-30,0.007900410386551995
2015-07-31,0.036212048211627754
2015-08-31,-0.03685500317437736
2015-09-30,-0.05506420508234366
2015-10-31,0.011069034656989135
2015-11-30,-0.006457986888441302
2015-12-31,0.036392106080812704
2016-01-31,-0.12364919599258718
2016-02-29,-0.054123307042868926
2016-03-31,-0.036566897793840286
2016-04-30,0.01592360114435171
2016-05-31,0.026930722796707766
2016-06-30,-0.09401455742766462
2016-07-31,0.07241587183196663
2016-08-31,-0.030413141829536534
2016-09-30,0.002078583065801564
2016-10-31,-0.04106579405409652
2016-11-30,0.012891934554439419
2016-12-31,-0.02617870640762391
2017-01-31,0.024304203858130712
2017-02-28,0.04849324788441507
2017-03-31,-0.03500983838789298
2017-04-30,0.0011695320976386724
2017-05-31,-0.045473243653692
2017-06-30,0.0628209761737929
2017-07-31,0.01870854743921553
2017-08-31,0.050017704481107345
2017-09-30,-0.046037262144897374
2017-10-31,-0.05310861345135914
2017-11-30,-0.013320090425199205
2017-12-31,0.006640701227953022
2018-01-31,0.03020570676542359
2018-02-28,-0.01836038266494499
2018-03-31,-0.017699746837582984
2018-04-30,-0.04731676032667835
2018-05-31,-0.030415084163552333
2018-06-30,-0.010656226417792888
2018-07-31,0.049488124090969456
2018-08-31,-0.005165770711711044
2018-09-30,-0.0004090295424982
2018-10-31,-0.03644062763287026
2018-11-30,0.03458916033147466
2018-12-31,-0.021973379090328787
2019-01-31,0.03859391205233427
2019-02-28,-0.02775206484735127
2019-03-31,-0.01689195906958635
2019-04-30,-0.053899459743422286
2019-05-31,-0.009387799956282541
2019-06-30,0.021526037278711538
2019-07-31,-0.03100772517952615
2019-08-31,-0.0071876489593276985
2019-09-30,-0.01585120840834935
2019-10-31,0.050121648164902215
2019-11-30,0.06128499707505336
2019-12-31,-0.020283117169514808
2020-01-31,-0.06016722932015538
2020-02-29,0.057309422204886544
2020-03-31,0.03190602160846898
2020-04-30,0.010253019536631353
2020-05-31,0.0048624262050374345
2020-06-30,-0.03597194235049701
2020-07-31,-0.06130889260092148
2020-08-31,-0.05722204570985747
2020-09-30,0.01906535818602843
2020-10-31,-0.020504932168759055
2020-11-30,-0.05276706322226145
2020-12-31,-0.04697496740967701
2021-01-31,0.008291501759523999
2021-02-28,-0.027632896188598703
2021-03-31,-0.013609679535831937
2021-04-30,0.012266926251990586
2021-05-31,0.010716849742665551
2021-06-30,0.0024706046339127985
2021-07-31,0.038043107008816045
2021-08-31,0.019417648572686127
2021-09-30,-0.009094769859506475
2021-10-31,-0.0499065392268529
2021-11-30,0.005942657439994288
2021-12-31,-0.016500107952727994
2022-01-31,0.0016012697562391431
2022-02-28,-0.03918586363381694
2022-03-31,-0.00894057619945729
2022-04-30,0.014368871866019206
2022-05-31,0.045112140951189844
2022-06-30,0.06335015634492258
2022-07-31,-0.04669618228381829
2022-08-31,-0.01505733023646768
2022-09-30,0.05434530663244208
2022-10-31,0.04827501131322495
2022-11-30,0.04952615304407839
2022-12-31,0.01407041234186273
2023-01-31,-0.0692828621606514
2023-02-28,-0.04816634456493398
2023-03-31,-0.007120345757694005
2023-04-30,0.015000682963636776
2023-05-31,-0.06417696466655659
2023-06-30,-0.056430189349108005
2023-07-31,-0.014493404982958626
2023-08-31,0.04850788660729177
2023-09-30,0.024169333491377065
2023-10-31,-0.007014419196999272
2023-11-30,-0.020715761061318852
2023-12-31,0.041813271368032534
2024-01-31,0.006808938333566501
2024-02-29,-0.04787627851984533
2024-03-31,0.004697951532437518
2024-04-30,-0.016272254529889937
2024-05-31,0.01733876541542003
2024-06-30,0.010497089948742861
2024-07-31,0.04137674369152296
2024-08-31,-0.0027096810729046934
2024-09-30,-0.04674267932896581
2024-10-31,-0.02647811454804464
2024-11-30,-0.08518653163416938
2024-12-31,-0.023140296341854424
